JobAsmbl_Company,Customer_Name,JobHead_ProdQty,JobHead_QtyCompleted,JobOper_OprSeq,JobOper_OpDesc,ResourceTimeUsed_ResourceGrpID,JCDept_JCDept,JCDept_Description,JobOper_LastLaborDate,Calculated_RemProdHrs,Calculated_OpCount,JobHead_PartNum,JobHead_PartDescription,OrderDtl_OrderQty,JobHead_SchedCode,JobHead_ProdCode,JobHead_JobHold_c,JobHead_CommentText,JobHead_JobNotes_c,JobHead_Company,JobHead_JobNum,JobHead_LotNum_c,JobHead_Remake_c,JobHead_Rework_c,JobHead_Rush_c,JobHead_Split_c,JobHead_TestCoupons_c,JobHead_Reference_c,Calculated_WIP,Calculated_RemainingOps,JobOper_CommentText,JobAsmbl_CommentText,JobAsmbl_TravelerLastPrint_c,JobAsmbl_TravPrintedBy_c,OrderRel_OrAckDate_c,Part_RefCategory
"AVA006","",48,0,10,"Document Control Supply Chain","SPLDOC","4070","Supply Chain",,19.97,19,"SN07428T","Stiktite Coated Shell Size 54mm",,"NORMAL","41200",False,"","","AVA006","U0000000000428","",False,False,False,False,False,"",0,"","Print Job Traveler","",,"",,"ACETABSH"
"AVA006","",48,0,10,"Document Control Supply Chain","SPLDOC","4070","Supply Chain",,19.97,19,"SN07428T","Stiktite Coated Shell Size 54mm",,"NORMAL","41200",False,"","","AVA006","U0000000000429","",False,False,False,False,False,"",0,"","Print Job Traveler","",,"",,"ACETABSH"
"AVA006","",48,0,10,"Document Control Supply Chain","SPLDOC","4070","Supply Chain",,19.97,19,"SN07428T","Stiktite Coated Shell Size 54mm",,"NORMAL","41200",False,"","","AVA006","U0000000000430","",False,False,False,False,False,"",0,"","Print Job Traveler","",,"",,"ACETABSH"
"AVA006","",48,0,10,"Document Control Supply Chain","SPLDOC","4070","Supply Chain",,19.97,19,"SN07428T","Stiktite Coated Shell Size 54mm",,"NORMAL","41200",False,"","","AVA006","U0000000000431","",False,False,False,False,False,"",0,"","Print Job Traveler","",,"",,"ACETABSH"
"AVA006","",48,0,10,"Document Control Supply Chain","SPLDOC","4070","Supply Chain",,19.97,19,"SN07428T","Stiktite Coated Shell Size 54mm",,"NORMAL","41200",False,"","","AVA006","U0000000000432","",False,False,False,False,False,"",0,"","Print Job Traveler","",,"",,"ACETABSH"
"AVA006","",48,0,10,"Document Control Supply Chain","SPLDOC","4070","Supply Chain",,19.97,19,"SN07428T","Stiktite Coated Shell Size 54mm",,"NORMAL","41200",False,"","","AVA006","U0000000000433","",False,False,False,False,False,"",0,"","Print Job Traveler","",,"",,"ACETABSH"
"AVA006","",48,0,10,"Document Control Supply Chain","SPLDOC","4070","Supply Chain",,19.97,19,"SN07428T","Stiktite Coated Shell Size 54mm",,"NORMAL","41200",False,"","","AVA006","U0000000000434","",False,False,False,False,False,"",0,"","Print Job Traveler","",,"",,"ACETABSH"
"AVA006","",48,0,10,"Document Control Supply Chain","SPLDOC","4070","Supply Chain",,19.97,19,"SN07428T","Stiktite Coated Shell Size 54mm",,"NORMAL","41200",False,"","","AVA006","U0000000000435","",False,False,False,False,False,"",0,"","Print Job Traveler","",,"",,"ACETABSH"
"AVA006","",48,0,10,"Document Control Supply Chain","SPLDOC","4070","Supply Chain",,19.97,19,"SN07428T","Stiktite Coated Shell Size 54mm",,"NORMAL","41200",False,"","","AVA006","U0000000000436","",False,False,False,False,False,"",0,"","Print Job Traveler","",,"",,"ACETABSH"
"AVA006","",48,0,10,"Document Control Supply Chain","SPLDOC","4070","Supply Chain",,19.97,19,"SN07428T","Stiktite Coated Shell Size 54mm",,"NORMAL","41200",False,"","","AVA006","U0000000000437","",False,False,False,False,False,"",0,"","Print Job Traveler","",,"",,"ACETABSH"
